Date,log_return,vix_change,regime,in_bull_market,strategy_return,bnh_return,cum_strategy,cum_buy_and_hold
2010-01-04,0.013174525760488989,0.0,Bull,1.0,0.013174525760488989,0.013174525760488989,1.0132616921965207,1.0132616921965207
2010-01-05,0.0055425523967058115,0.0,Bull,1.0,0.0055425523967058115,0.0055425523967058115,1.0188933406534613,1.0188933406534613
2010-01-06,-0.001098768937684271,0.0,Bull,1.0,-0.001098768937684271,-0.001098768937684271,1.0177744271262232,1.0177744271262232
2010-01-07,-0.0065845844536614895,0.0,Bull,1.0,-0.0065845844536614895,-0.0065845844536614895,1.0110948208058195,1.0110948208058195
2010-01-08,0.009210004009034116,0.0,Bull,1.0,0.009210004009034116,0.009210004009034116,1.0204500227538318,1.0204500227538318
2010-01-11,-0.0061529379802548875,0.0,Bull,1.0,-0.0061529379802548875,-0.0061529379802548875,1.0141905339231279,1.0141905339231279
2010-01-12,0.011999279883406211,0.0,Bull,1.0,0.011999279883406211,0.011999279883406211,1.0264333958619027,1.0264333958619027
2010-01-13,-0.0013906925472457492,0.0,Bull,1.0,-0.0013906925472457492,-0.0013906925472457492,1.0250069347023862,1.0250069347023862
2010-01-14,0.011734074508325006,0.0,Bull,1.0,0.011734074508325006,0.011734074508325006,1.0371052851015772,1.0371052851015772
2010-01-15,0.00535251903041497,0.0,Bull,1.0,0.00535251903041497,0.00535251903041497,1.0426712936714355,1.0426712936714355
2010-01-18,-0.0003589684260970396,0.0,Bull,1.0,-0.0003589684260970396,-0.0003589684260970396,1.0422970747686133,1.0422970747686133
2010-01-19,-0.01084913469287027,0.0,Bull,1.0,-0.01084913469287027,-0.01084913469287027,1.0310501733055213,1.0310501733055213
2010-01-20,-0.007636341792229564,0.0,Bull,1.0,-0.007636341792229564,-0.007636341792229564,1.023206707584861,1.023206707584861
2010-01-21,0.0062097004627542345,0.0,Bull,1.0,0.0062097004627542345,0.0062097004627542345,1.029580283267766,1.029580283267766
2010-01-22,-0.00011118306808089369,0.0,Bull,1.0,-0.00011118306808089369,-0.00011118306808089369,1.029465817736469,1.029465817736469
2010-01-25,-0.01218860534523672,0.0,Bull,1.0,-0.01218860534523672,-0.01218860534523672,1.0169942252273438,1.0169942252273438
2010-01-26,-0.00448136538571756,0.0,Bull,1.0,-0.00448136538571756,-0.00448136538571756,1.0124468992337763,1.0124468992337763
2010-01-27,-8.561346505512864e-05,0.0,Bull,1.0,-8.561346505512864e-05,-8.561346505512864e-05,1.0123602238568912,1.0123602238568912
2010-01-28,-0.03981721369946668,0.0,High-Vol,0.0,-0.0,-0.03981721369946668,1.0123602238568912,0.9728428177884931
2010-01-29,0.006747026066196602,0.0,High-Vol,0.0,0.0,0.006747026066196602,1.0123602238568912,0.9794288065732981
2010-02-01,-0.0191349820449026,0.0,High-Vol,0.0,-0.0,-0.0191349820449026,1.0123602238568912,0.9608656234351405
2010-02-02,-0.022259983257703408,0.0,High-Vol,0.0,-0.0,-0.022259983257703408,1.0123602238568912,0.9397130718951178
2010-02-03,-0.031872198247992735,0.0,High-Vol,0.0,-0.0,-0.031872198247992735,1.0123602238568912,0.9102346175418979
2010-02-04,-0.03379006496162198,0.0,High-Vol,0.0,-0.0,-0.03379006496162198,1.0123602238568912,0.879991565523244
2010-02-05,-0.0258980550560213,0.0,High-Vol,0.0,-0.0,-0.0258980550560213,1.0123602238568912,0.857494073578608
2010-02-08,-0.014262377237348857,0.0,High-Vol,0.0,-0.0,-0.014262377237348857,1.0123602238568912,0.8453509702233734
2010-02-09,0.033658664475478155,0.0,High-Vol,0.0,0.0,0.033658664475478155,1.0123602238568912,0.8742886243721449
2010-02-10,-0.01096583416611367,0.0,High-Vol,0.0,-0.0,-0.01096583416611367,1.0123602238568912,0.8647536950780363
2010-02-11,0.0016995019128246765,0.0,High-Vol,0.0,0.0,0.0016995019128246765,1.0123602238568912,0.8662245951816793
2010-02-12,0.005708664957113839,0.0,High-Vol,0.0,0.0,0.005708664957113839,1.0123602238568912,0.8711837227042525
2010-02-15,0.0008591733518854155,0.0,High-Vol,0.0,0.0,0.0008591733518854155,1.0123602238568912,0.8719325421802023
2010-02-16,-0.0028939822930678935,0.0,High-Vol,0.0,-0.0,-0.0028939822930678935,1.0123602238568912,0.869412832598415
2010-02-17,-0.023015287744786363,0.0,High-Vol,0.0,-0.0,-0.023015287744786363,1.0123602238568912,0.8496315551598232
2010-02-18,0.024616695869025814,0.0,High-Vol,0.0,0.0,0.024616695869025814,1.0123602238568912,0.8708062327752557
2010-02-19,0.03102953958548198,0.0,High-Vol,0.0,0.0,0.03102953958548198,1.0123602238568912,0.8982505393584037
2010-02-22,-0.0317878564942085,0.0,High-Vol,0.0,-0.0,-0.0317878564942085,1.0123602238568912,0.8701461359976238
2010-02-23,-0.019932514635954655,0.0,High-Vol,0.0,-0.0,-0.019932514635954655,1.0123602238568912,0.8529736493828256
2010-02-24,-0.0065365861627862286,0.0,High-Vol,0.0,-0.0,-0.0065365861627862286,1.0123602238568912,0.8474162964744947
2010-02-25,-0.018861680308383373,0.0,High-Vol,0.0,-0.0,-0.018861680308383373,1.0123602238568912,0.8315823975951039
2010-02-26,0.007607379962205608,0.0,High-Vol,0.0,0.0,0.007607379962205608,1.0123602238568912,0.8379326847617543
2010-03-01,-0.01460889964331895,0.0,High-Vol,0.0,-0.0,-0.01460889964331895,1.0123602238568912,0.8257803922011427
2010-03-02,0.03747100922051886,0.0,High-Vol,0.0,0.0,0.03747100922051886,1.0123602238568912,0.8573102556853184
2010-03-03,0.019929874698184746,0.0,High-Vol,0.0,0.0,0.019929874698184746,1.0123602238568912,0.8745677401916846
2010-03-04,0.00232633255138,0.0,High-Vol,0.0,0.0,0.00232633255138,1.0123602238568912,0.8766046439332048
2010-03-05,0.016985752739755083,0.0,High-Vol,0.0,0.0,0.016985752739755083,1.0123602238568912,0.8916216098496339
2010-03-08,0.018406207638431545,0.0,High-Vol,0.0,0.0,0.018406207638431545,1.0123602238568912,0.9081849488440683
2010-03-09,-0.01165105478504845,0.0,High-Vol,0.0,-0.0,-0.01165105478504845,1.0123602238568912,0.8976650392751362
2010-03-10,-0.01619191040175538,0.0,High-Vol,0.0,-0.0,-0.01619191040175538,1.0123602238568912,0.8832471688242821
2010-03-11,-9.342486654637577e-05,0.0,High-Vol,0.0,-0.0,-9.342486654637577e-05,1.0123602238568912,0.8831646554298687
2010-03-12,0.014009450240962932,0.0,High-Vol,0.0,0.0,0.014009450240962932,1.0123602238568912,0.895624379886584
2010-03-15,0.0010030871757616834,0.0,High-Vol,0.0,0.0,0.0010030871757616834,1.0123602238568912,0.8965232199484507
2010-03-16,-0.029885936679438035,0.0,High-Vol,0.0,-0.0,-0.029885936679438035,1.0123602238568912,0.8701261983448444
2010-03-17,-0.01595083999111501,0.0,High-Vol,0.0,-0.0,-0.01595083999111501,1.0123602238568912,0.8563570611729763
2010-03-18,-0.002831511544698915,0.0,High-Vol,0.0,-0.0,-0.002831511544698915,1.0123602238568912,0.8539357059332973
2010-03-19,-0.002861980877864818,0.0,High-Vol,0.0,-0.0,-0.002861980877864818,1.0123602238568912,0.8514952522037433
2010-03-22,0.034005759182216516,0.0,High-Vol,0.0,0.0,0.034005759182216516,1.0123602238568912,0.8809489541630101
2010-03-23,-0.02644778296318201,0.0,High-Vol,0.0,-0.0,-0.02644778296318201,1.0123602238568912,0.8579552144399903
2010-03-24,0.007600606353045801,0.0,High-Vol,0.0,0.0,0.007600606353045801,1.0123602238568912,0.8645010388987429
2010-03-25,0.02530403594990922,0.0,High-Vol,0.0,0.0,0.02530403594990922,1.0123602238568912,0.8866555210694329
2010-03-26,0.03938609541761033,0.0,High-Vol,0.0,0.0,0.03938609541761033,1.0123602238568912,0.9222742571051811
2010-03-29,-0.008779153617311174,0.0,High-Vol,0.0,-0.0,-0.008779153617311174,1.0123602238568912,0.9142129074147396
2010-03-30,0.007345730148963639,0.0,High-Vol,0.0,0.0,0.007345730148963639,1.0123602238568912,0.9209531945880006
2010-03-31,0.008755686429575528,0.0,High-Vol,0.0,0.0,0.008755686429575528,1.0123602238568912,0.9290521763079896
2010-04-01,0.002018671167959253,0.0,High-Vol,0.0,0.0,0.002018671167959253,1.0123602238568912,0.9309295213835003
2010-04-02,-0.0032792136223074456,0.0,High-Vol,0.0,-0.0,-0.0032792136223074456,1.0123602238568912,0.9278818044041585
2010-04-05,0.006347557011000746,0.0,High-Vol,0.0,0.0,0.006347557011000746,1.0123602238568912,0.9337903195368568
